Sensor at x=1518415, y=2163633: closest beacon is at x=1111304, y=1535696
Sensor at x=2474609, y=3598166: closest beacon is at x=2691247, y=4007257
Sensor at x=426959, y=473371: closest beacon is at x=-529106, y=1145419
Sensor at x=3999598, y=1984775: closest beacon is at x=3975468, y=2000000
Sensor at x=2459256, y=2951561: closest beacon is at x=2132806, y=2866452
Sensor at x=2925882, y=2862933: closest beacon is at x=3325001, y=3024589
Sensor at x=3539174, y=3882566: closest beacon is at x=3132375, y=3541509
Sensor at x=3044887, y=3798155: closest beacon is at x=3132375, y=3541509
Sensor at x=1792818, y=3506985: closest beacon is at x=2132806, y=2866452
Sensor at x=3761945, y=3304667: closest beacon is at x=3325001, y=3024589
Sensor at x=71968, y=3823892: closest beacon is at x=-1085197, y=3401157
Sensor at x=2902345, y=3999748: closest beacon is at x=2691247, y=4007257
Sensor at x=2074989, y=2347435: closest beacon is at x=2132806, y=2866452
Sensor at x=1115220, y=1782338: closest beacon is at x=1111304, y=1535696
Sensor at x=369130, y=2348958: closest beacon is at x=1111304, y=1535696
Sensor at x=2525090, y=1917940: closest beacon is at x=2603675, y=2276026
Sensor at x=2861163, y=3386968: closest beacon is at x=3132375, y=3541509
Sensor at x=3995081, y=2010596: closest beacon is at x=3975468, y=2000000
Sensor at x=3038274, y=534921: closest beacon is at x=4354209, y=-17303
Sensor at x=3646366, y=2868267: closest beacon is at x=3325001, y=3024589
Sensor at x=3308360, y=1653497: closest beacon is at x=3975468, y=2000000
Sensor at x=1996072, y=995783: closest beacon is at x=1111304, y=1535696
Sensor at x=3852158, y=950900: closest beacon is at x=3975468, y=2000000
Sensor at x=3061849, y=2428914: closest beacon is at x=2603675, y=2276026
Sensor at x=2788254, y=3983003: closest beacon is at x=2691247, y=4007257
Sensor at x=694411, y=1882565: closest beacon is at x=1111304, y=1535696
Sensor at x=2647250, y=2551966: closest beacon is at x=2603675, y=2276026
Sensor at x=1079431, y=3166226: closest beacon is at x=2132806, y=2866452
Sensor at x=3929172, y=2196495: closest beacon is at x=3975468, y=2000000
Sensor at x=3883296, y=2487406: closest beacon is at x=3975468, y=2000000
Sensor at x=1271911, y=1529880: closest beacon is at x=1111304, y=1535696
